task,level,n_demos,batch,env,success,variant,obj_x,obj_y,obj_yaw,goal_x,goal_y,local_rej,nn_demo_dist,cab_x,cab_y,cab_dyaw,bearing
T1,L1,100,2,13,True,-1,0.46640491485595703,0.0016460418701171875,1.2932821451024321,0.5,0.25,0.040000000000000036,0.7228983247853056,,,,
T1,L1,100,2,14,True,-1,0.5711979866027832,-0.11334705352783203,-0.047240388720686186,0.5,0.25,0.24,0.6605126971942176,,,,
T1,L1,100,2,15,True,-1,0.3840179443359375,0.08597397804260254,1.5071057158156485,0.5,0.25,0.0,0.6808110139887079,,,,
T1,L1,100,2,16,True,-1,0.41747283935546875,-0.14301490783691406,1.353011001311279,0.5,0.25,0.19999999999999996,0.32627466667408284,,,,
T1,L1,100,2,17,True,-1,0.47009801864624023,-0.1363300085067749,1.2836868900672667,0.5,0.25,0.12,0.33928457654757943,,,,
T1,L1,100,2,18,True,-1,0.37511205673217773,0.06210196018218994,-0.1812981663012953,0.5,0.25,0.19999999999999996,0.5185985734775005,,,,
T1,L1,100,2,19,True,-1,0.42130517959594727,-0.170989990234375,1.1046855280772416,0.5,0.25,0.16000000000000003,0.29511298997988095,,,,
T1,L1,100,3,0,True,-1,0.3978438377380371,0.04998493194580078,1.2054005219558837,0.5,0.25,0.0,0.3731579399334856,,,,
T1,L1,100,3,1,True,-1,0.6081638336181641,-0.06217598915100098,0.6081612165263101,0.5,0.25,0.12,0.5328138376915947,,,,
T1,L1,100,3,2,True,-1,0.5025582313537598,-0.15768897533416748,-1.2391199201125143,0.5,0.25,0.16000000000000003,0.5627910735047194,,,,
T1,L1,100,3,3,True,-1,0.6248221397399902,0.09261798858642578,-1.074366675379114,0.5,0.25,0.12,0.4240977403009236,,,,
T1,L1,100,3,4,True,-1,0.40196704864501953,0.002370119094848633,-0.712505947950148,0.5,0.25,0.28,0.4117910606865892,,,,
T1,L1,100,3,5,True,-1,0.6215519905090332,-0.13135504722595215,-0.8748032332936452,0.5,0.25,0.24,0.4554001883201635,,,,
T1,L1,100,3,6,True,-1,0.3879249095916748,0.11820602416992188,0.1544313574905224,0.5,0.25,0.12,0.16726233441663363,,,,
T1,L1,100,3,7,True,-1,0.6325480937957764,-0.1696479320526123,-0.9229781752901769,0.5,0.25,0.28,0.44758260944785,,,,
T1,L1,100,3,8,True,-1,0.5339339971542358,-0.1175529956817627,-0.8723044437429666,0.5,0.25,0.12,0.45537146461621125,,,,
T1,L1,100,3,9,True,-1,0.38383400440216064,-0.21889197826385498,0.29106852364182556,0.5,0.25,0.16000000000000003,0.1734341284555373,,,,
T1,L1,100,3,10,True,-1,0.38298100233078003,0.055052995681762695,0.9144439736218322,0.5,0.25,0.0,0.6778557797601169,,,,
T1,L1,100,3,11,True,-1,0.43295300006866455,-0.13831090927124023,-1.0397694994145839,0.5,0.25,0.12,0.46060099618373695,,,,
T1,L1,100,3,12,True,-1,0.43365907669067383,-0.09772205352783203,1.4463839697855492,0.5,0.25,0.19999999999999996,0.6343487875196074,,,,
T1,L1,100,3,13,True,-1,0.4944150447845459,-0.16264796257019043,0.35857597564442767,0.5,0.25,0.12,0.5983906757864352,,,,
T1,L1,100,3,14,True,-1,0.46271610260009766,0.09978902339935303,-1.0801723817098619,0.5,0.25,0.07999999999999996,0.5840820192270441,,,,
T1,L1,100,3,15,True,-1,0.4764540195465088,-0.0806269645690918,0.49166741413383436,0.5,0.25,0.16000000000000003,0.4010672115220983,,,,
T1,L1,100,3,16,True,-1,0.3564720153808594,-0.06361699104309082,-0.344336731670838,0.5,0.25,0.07999999999999996,0.5691449591788982,,,,
T1,L1,100,3,17,True,-1,0.558722972869873,-0.1140589714050293,-0.8424527941312846,0.5,0.25,0.19999999999999996,0.20926621433859138,,,,
T1,L1,100,3,18,False,-1,0.4079399108886719,0.10705697536468506,-0.8721564182951481,0.5,0.25,0.16000000000000003,0.3229148949616701,,,,
T1,L1,100,3,19,True,-1,0.6057701110839844,-0.07759690284729004,-1.0041124508791388,0.5,0.25,0.19999999999999996,0.5101559570584816,,,,
T1,L1,100,4,0,True,-1,0.44892406463623047,-0.1399550437927246,-0.9263035575006787,0.5,0.25,0.12,0.4094517792891008,,,,
T1,L1,100,4,1,True,-1,0.42635488510131836,-0.003618955612182617,-0.47621508887270086,0.5,0.25,0.16000000000000003,0.5242881143986261,,,,
T1,L1,100,4,2,True,-1,0.628173828125,0.025660037994384766,-0.5160137795436522,0.5,0.25,0.12,0.6994846714331137,,,,
T1,L1,100,4,3,True,-1,0.5519599914550781,0.08081603050231934,0.6263693387277132,0.5,0.25,0.19999999999999996,0.46710244516695476,,,,
T1,L1,100,4,4,True,-1,0.6171820163726807,-0.06087207794189453,-0.47606712562381914,0.5,0.25,0.16000000000000003,0.4318084523272461,,,,
T1,L1,100,4,5,True,-1,0.48258495330810547,-0.01678001880645752,1.1909497603975736,0.5,0.25,0.12,0.7635634217368126,,,,
T1,L1,100,4,6,True,-1,0.6249508857727051,0.05291903018951416,0.8685390660890319,0.5,0.25,0.12,0.1407001749201803,,,,
T1,L1,100,4,7,True,-1,0.6199920177459717,-0.23728108406066895,-0.8805339732958015,0.5,0.25,0.28,0.770077548371772,,,,
